Bairro;População;latitude;longitude
Santa Rosa-São Francisco-Parque Brasil-Poti Velho;24897;-5.013839967566373;-42.827616388962525
Redonda-Novo Horizonte-Parque Poti-Extrema;25206;-5.112869745965246;-42.74812662544631
Livramento-Recanto das Palmeiras-Santa Isabel-Parque Ideal;21755;-5.088665871395081;-42.75340635557802
Santa Luzia-Saci-Parque São João-Tabuleta;12511;-5.132676903325073;-42.80438584850132
Zoobotânico-Planalto-Embrapa-Pedra Mole;20527;-5.034910288001169;-42.77893487288936
São Raimundo-Beira Rio-São João-Cristo Rei;20652;-5.0986600444121635;-42.780416564691066
Parque Juliana-Brasilar-Parque Jacinta-Santo Antônio;18830;-5.152397712140201;-42.76068745073818
Triunfo-Lourival Parente;13117;-5.1296208271556;-42.792820735129986
Tabajaras-Socopó-Aroeiras;13528;-5.012295953082494;-42.78767142840775
Itaperu-Nova Brasília-Memorare-Alto Alegre;17381;-5.045700701006847;-42.8234497167194
Todos Os Santos-Gurupi-Colorado-Flor de Campo;28008;-5.088646435307768;-42.73125564752214
Pio Xii-Macaúba-Redenção;9011;-5.113872693707691;-42.79945138393075
Santa Lia-Campestre-Samapi-Uruguai;26331;-5.062417731138202;-42.7535294043371
Olarias-Mafrense;7325;-5.041698216450513;-42.83361113367918
Comprida-Tancredo Neves-São Lourenço;9109;-5.1212766780327135;-42.76979405485783
Verdecap-Bom Princípio-São Sebastião;19611;-5.110321027729335;-42.723429975049726
Pirajá-Acarapé-Matinha-Aeroporto;13227;-5.073656301247449;-42.82430580827852
Frei Serafim-Cabral-Piçarra-Ilhotas;12851;-5.090167686950433;-42.795464857660875
Mafuá-Vila Operária-Marquês de Paranaguá;8016;-5.076486755426647;-42.815150824326345
Árvores Verdes-Verde Lar-Vale de Gavião-Vale Quem Tem;37654;-5.0411622221702865;-42.73819757103628
Morros-Porto de Centro-Satélite;21633;-5.0445880058752826;-42.756241074469564
Por Enquanto-Morro de Esperança;5104;-5.073730031583072;-42.805710089753134
Cidade Nova-Três Andares-Monte Castelo;21203;-5.107633300386738;-42.79175816908928
Areias-Distrito Industrial-Santa Cruz-Parque Piauí;24738;-5.152415123385075;-42.789364225559865
N S das Graças-Vermelha;7535;-5.103551217372263;-42.8081325909489
Bom Jesus-Buenos Aires;9386;-5.038557802514383;-42.811125107734924
Novo Uruguai;3158;-5.0579605;-42.7247156
Noivos-São Cristóvão;8208;-5.080582812865497;-42.7773925276803
Catarina;4252;-5.1173857;-42.7801542
Morada de Sol-Piçarreira-Horto;18681;-5.0649766991649265;-42.77089940610781
Alvorada-Matadouro-São Joaquim;18079;-5.0601743633718685;-42.83385916940096
Morada Nova;4614;-5.1241777;-42.7881985
Real Copagre-água Mineral;15791;-5.049915939674498;-42.81134741590779
Esplanada;6593;-5.2007093;-42.75158329999999
Jockey-Fátima-Iningá;22762;-5.065215674026888;-42.79282947300325
São Pedro;7104;-5.1183819999999995;-42.809109
Centro;8223;-5.0903678;-42.8105988
Primavera;8230;-5.062708799999999;-42.8125942
Renascença;10416;-5.0993138;-42.74059370000001
Bela Vista;12345;-5.1333223;-42.77355559999998
Promorar;13821;-5.1481373;-42.7806058
Santa Maria;21923;-4.9873352;-42.83941610000001
Itararé;31857;-5.105397099999999;-42.7616738
Angelim;43092;-5.1823651;-42.7808776
