tipo;endereço
fixo;Assaí Atacadista - São Raimundo
fixo;Assaí Atacadista - São Cristovão
fixo;Extra Mercado - Pio XII
fixo;Pão de Açucar - Centro
fixo;Shopping Rio Poty - Porequanto
fixo;Teresina Shopping
fixo;Pão de Açucar - São Cristovão
fixo;R. Anfrísio Lobão, 922 - Jóquei, Teresina - PI, 64049-280
fixo;Praça das Palmeiras - Bairro SACI
fixo;Av. Homero Castelo Branco, 1945 - Jóquei, Teresina - PI, 64048-400
fixo;Parque Potycabana
fixo;Espaço Rosa dos Ventos - UFPI
itinerante;R. Gov. Raimundo Artur Vasconcelos, 4838 - Itaperu
itinerante;Escola municipal Professor Valtar Alencar - Planalto Uruguai
itinerante;IFPI Campus Teresina Central
itinerante;Sede do Projeto MP3
